anio,trimestre,provincia,tv_suscripcion_100habitantes,tv_suscripcion_100hogares
2015,2,Jujuy,11.48,44.92
2015,2,La Pampa,24.16,73.38
2015,2,La Rioja,6.91,25.98
2015,2,Mendoza,6.19,22.2
2015,2,Misiones,9.78,35.93
2015,2,Neuquén,17.95,60.36
2015,2,Río Negro,8.33,27.1
2015,2,Salta,12.69,52.44
2015,2,San Juan,5.9,23.16
2015,2,San Luis,11.66,40.8
2015,2,Santa Cruz,16.9,56.91
2015,2,Santa Fe,18,57.28
2015,2,Santiago del Estero,10.64,42.89
2015,2,Tierra del Fuego,23.67,80.01
2015,2,Tucumán,7.63,30.82
2015,3,Buenos Aires,15.04,49.36
2015,3,CABA,23.44,61.71
2015,3,Catamarca,7.33,28.83
2015,3,Chaco,8.11,30.37
2015,3,Chubut,12.14,39.66
2015,3,Córdoba,27.64,90.37
2015,3,Corrientes,8.63,32.8
2015,3,Entre Ríos,11.63,38.91
2015,3,Formosa,8.01,31.5
2015,3,Jujuy,11.79,46.13
2015,3,La Pampa,25.1,76.23
2015,3,La Rioja,7.01,26.36
2015,3,Mendoza,6.23,22.35
2015,3,Misiones,9.96,36.62
2015,3,Neuquén,17.96,60.4
2015,3,Río Negro,8.17,26.6
2015,3,Salta,12.77,52.79
2015,3,San Juan,5.9,23.17
2015,3,San Luis,11.49,40.19
2015,3,Santa Cruz,17.15,57.76
2015,3,Santa Fe,18.06,57.46
2015,3,Santiago del Estero,10.73,43.28
2015,3,Tierra del Fuego,24.33,82.22
2015,3,Tucumán,7.7,31.12
2015,4,Buenos Aires,15.04,49.34
2015,4,CABA,23.47,61.8
2015,4,Catamarca,7.4,29.1
2015,4,Chaco,7.94,29.75
2015,4,Chubut,12.14,39.67
2015,4,Córdoba,27.87,91.11
2015,4,Corrientes,8.82,33.52
2015,4,Entre Ríos,11.69,39.12
2015,4,Formosa,8.01,31.48
2015,4,Jujuy,11.9,46.57
2015,4,La Pampa,25.41,77.17
2015,4,La Rioja,6.84,25.72
2015,4,Mendoza,6.2,22.23
2015,4,Misiones,10.02,36.83
2015,4,Neuquén,17.93,60.29
2015,4,Río Negro,8.09,26.33
2015,4,Salta,12.97,53.61
2015,4,San Juan,5.99,23.52
2015,4,San Luis,11.45,40.04
2015,4,Santa Cruz,17.16,57.8
2015,4,Santa Fe,18.06,57.46
2015,4,Santiago del Estero,10.77,43.42
2015,4,Tierra del Fuego,24.74,83.62
2015,4,Tucumán,7.86,31.76
2016,1,Buenos Aires,14.86,48.77
2016,1,CABA,23.54,61.98
2016,1,Catamarca,7.29,28.68
2016,1,Chaco,7.91,29.61
2016,1,Chubut,11.82,38.61
2016,1,Córdoba,27.7,90.54
2016,1,Corrientes,8.55,32.5
2016,1,Entre Ríos,11.56,38.69
2016,1,Formosa,7.93,31.18
2016,1,Jujuy,11.52,45.09
2016,1,La Pampa,25.88,78.61
2016,1,La Rioja,6.5,24.43
2016,1,Mendoza,6.09,21.85
2016,1,Misiones,10.05,36.94
2016,1,Neuquén,17.66,59.38
2016,1,Río Negro,7.75,25.21
2016,1,Salta,12.61,52.13
2016,1,San Juan,5.65,22.19
2016,1,San Luis,11.39,39.83
2016,1,Santa Cruz,16.52,55.62
2016,1,Santa Fe,17.83,56.74
2016,1,Santiago del Estero,10.54,42.51
2016,1,Tierra del Fuego,24.84,83.95
2016,1,Tucumán,8.01,32.35
2016,2,Buenos Aires,14.94,49.04
2016,2,CABA,23.47,61.8
2016,2,Catamarca,7.4,29.1
2016,2,Chaco,8.16,30.56
2016,2,Chubut,12.61,41.2
2016,2,Córdoba,27.88,91.15
2016,2,Corrientes,8.58,32.61
2016,2,Entre Ríos,11.62,38.9
2016,2,Formosa,7.93,31.19
2016,2,Jujuy,11.58,45.33
2016,2,La Pampa,25.9,78.65
2016,2,La Rioja,6.54,24.59
2016,2,Mendoza,6.09,21.85
2016,2,Misiones,10.15,37.31
2016,2,Neuquén,17.65,59.37
2016,2,Río Negro,7.72,25.14
2016,2,Salta,12.9,53.3
2016,2,San Juan,5.67,22.3
2016,2,San Luis,11.18,39.1
2016,2,Santa Cruz,15.7,52.86
2016,2,Santa Fe,17.96,57.15
2016,2,Santiago del Estero,10.56,42.59
2016,2,Tierra del Fuego,24.33,82.24
2016,2,Tucumán,7.73,31.23
2016,3,Buenos Aires,14.97,49.12
2016,3,CABA,23.43,61.7
2016,3,Catamarca,7.43,29.22
2016,3,Chaco,7.8,29.22
2016,3,Chubut,12.59,41.12
2016,3,Córdoba,28.04,91.66
2016,3,Corrientes,8.59,32.63
2016,3,Entre Ríos,11.65,39
2016,3,Formosa,7.93,31.19
2016,3,Jujuy,11.48,44.93
2016,3,La Pampa,26.25,79.73
2016,3,La Rioja,6.6,24.81
2016,3,Mendoza,6.1,21.88
2016,3,Misiones,10.17,37.38
2016,3,Neuquén,17.64,59.31
2016,3,Río Negro,7.69,25.03
2016,3,Salta,12.76,52.73
2016,3,San Juan,5.67,22.27
2016,3,San Luis,11.2,39.18
2016,3,Santa Cruz,15.54,52.32
2016,3,Santa Fe,17.94,57.1
2016,3,Santiago del Estero,10.56,42.59
2016,3,Tierra del Fuego,24.66,83.34
2016,3,Tucumán,7.77,31.4
2016,4,Buenos Aires,15.06,49.41
2016,4,CABA,23.29,61.33
2016,4,Catamarca,7.52,29.58
2016,4,Chaco,7.65,28.63
2016,4,Chubut,12.59,41.14
2016,4,Córdoba,27.98,91.48
2016,4,Corrientes,8.65,32.88
2016,4,Entre Ríos,11.68,39.11
2016,4,Formosa,7.92,31.13
2016,4,Jujuy,11.1,43.44
2016,4,La Pampa,29.05,88.24
2016,4,La Rioja,6.9,25.94
2016,4,Mendoza,6.13,22
2016,4,Misiones,10.23,37.6
2016,4,Neuquén,17.62,59.26
2016,4,Río Negro,7.62,24.8
2016,4,Salta,12.79,52.87
2016,4,San Juan,5.33,20.95
2016,4,San Luis,11.25,39.37
2016,4,Santa Cruz,15.45,52.04
2016,4,Santa Fe,18.01,57.33
2016,4,Santiago del Estero,10.45,42.14
2016,4,Tierra del Fuego,24.73,83.59
2016,4,Tucumán,7.7,31.11
2017,1,Buenos Aires,15.23,47.43
2017,1,CABA,23.29,55.24
2017,1,Catamarca,7.36,28.91
2017,1,Chaco,7.57,28.32
2017,1,Chubut,12.46,40.65
2017,1,Córdoba,28.16,91.97
2017,1,Corrientes,8.58,32.59
2017,1,Entre Ríos,11.95,39.98
2017,1,Formosa,8.28,32.53
2017,1,Jujuy,11.33,44.31
2017,1,La Pampa,29.34,89.04
2017,1,La Rioja,6.49,24.37
2017,1,Mendoza,6.07,21.76
2017,1,Misiones,10.16,37.3
2017,1,Neuquén,17.45,58.61
2017,1,Río Negro,7.34,23.85
2017,1,Salta,12.52,51.67
2017,1,San Juan,5.76,22.6
2017,1,San Luis,11.72,40.96
2017,1,Santa Cruz,15,50.4
2017,1,Santa Fe,17.5,55.65
2017,1,Santiago del Estero,10.33,41.61
2017,1,Tierra del Fuego,24.31,81.97
2017,1,Tucumán,7.69,31.05
2017,2,Buenos Aires,15.17,47.17
2017,2,CABA,23.14,54.96
2017,2,Catamarca,10.01,39.35
2017,2,Chaco,7.84,29.32
2017,2,Chubut,12.38,40.37
2017,2,Córdoba,28,91.43
2017,2,Corrientes,8.53,32.41
2017,2,Entre Ríos,12.07,40.36
2017,2,Formosa,8.12,31.92
2017,2,Jujuy,11.36,44.42
2017,2,La Pampa,28.45,86.33
2017,2,La Rioja,6.39,23.99
2017,2,Mendoza,5.88,21.06
2017,2,Misiones,10.1,37.09
2017,2,Neuquén,17.37,58.35
2017,2,Río Negro,8.11,26.38
2017,2,Salta,18.73,77.34
2017,2,San Juan,5.38,21.11
2017,2,San Luis,11.23,39.25
2017,2,Santa Cruz,14.84,49.88
2017,2,Santa Fe,17.93,57.03
2017,2,Santiago del Estero,10.26,41.35
2017,2,Tierra del Fuego,24.25,81.79
2017,2,Tucumán,10.98,44.32
2017,3,Buenos Aires,15.11,46.79
2017,3,CABA,23.1,54.92
2017,3,Catamarca,10.08,39.57
2017,3,Chaco,7.73,28.87
2017,3,Chubut,11.93,38.81
2017,3,Córdoba,28.1,91.61
2017,3,Corrientes,8.59,32.58
2017,3,Entre Ríos,12.27,40.98
2017,3,Formosa,8.37,32.84
2017,3,Jujuy,11.36,44.34
2017,3,La Pampa,28.54,86.5
2017,3,La Rioja,6.34,23.76
2017,3,Mendoza,5.9,21.09
2017,3,Misiones,10.27,37.61
2017,3,Neuquén,17.24,57.79
2017,3,Río Negro,8.06,26.13
2017,3,Salta,18.6,76.63
2017,3,San Juan,5.23,20.49
2017,3,San Luis,12.8,44.62
2017,3,Santa Cruz,14.16,47.36
